rep_date,sbu_code,loc_code,loc_name,prim_cls,main_grp,catdes,item_code,supplier,itm_desc,itm_group,on_hand_qty,avg_price,plu_code,cur,ove30,ove60,ove90,ove120,ove180,ove270,ove365,ove730,neg_stock,on_hand_value,cur_val,ove30_val,ove60_val,ove90_val,ove120_val,ove180_val,ove270_val,ove365_val,ove730_val,neg_stock_val
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPMH-1000WH,1617,MEGA WATER HEATER 1000W (L),L03102,2.0,1612.5,761414,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3225.0,0.0,0.0,0.0,0.0,0.0,3225.0,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPMH-1000WHS,1617,MEGA WATER HEATER 1000W (S),L03102,1.0,1487.3,781562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1487.3,0.0,0.0,0.0,0.0,0.0,1487.3,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPMH-1500WH,1617,MEGA WATER HEATER 1500W (L),L03102,1.0,1664.72,761413,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1664.72,0.0,0.0,0.0,0.0,0.0,1664.72,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPDM12WD E27,1736,DIMO LED 12W BUY 2 300 DAY SC,L03103,1.0,1139.42,763269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1139.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.42,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPOZ-OZBS,200021,WEIGHT SCALE,L03103,2.0,2205.0,732564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPOZE-UMFSSL,200021,USB MULTO ADAPTOR,L03103,1.0,1799.17,781559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1799.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.17,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,CONSBDLE2,1714,B&D EMERGENCY LAMP LE2,L0ZZ31,1.0,2572.37,43922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2572.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2572.37,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,IMAR7WDLE27,100449,ARPICO LED BULB 7W DAY LIGHT -,L0ZZ31,1.0,178.77,721696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,178.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,IMARPPLD12W,200022,ARPICO LED PANEL LIGHT 12W D/L,L0ZZ31,1.0,616.77,732001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,616.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.77,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPBMI-3BRADR,100561,3 BANDS RADIO RECHARGEABLE,L0ZZ31,1.0,2323.72,768764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2323.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323.72,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPDM-3WCSE14,1736,DIMO CANDLE 3W D/L  E14,L0ZZ31,1.0,259.97,744842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,259.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.97,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Electronics,LPICL-I501,1965,USB CHARGER CABLE - I5 01 WITH,L0ZZ31,2.0,106.56,729575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,213.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.12,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Imp Electronics,IMAR3WDLE27,100449,ARPICO LED BULB 3W DAY LIGHTL-,I07104,1.0,164.78,744073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,164.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.78,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Imp Electronics,IMAR5WWWE27,100449,ARPICO LED BULB 5W WARM WHITE-,I07104,2.0,169.53,789147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,339.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.53,169.53,0.0
2024-06-15,830,81,HALOLUWA SS,B,Electricals,Imp Electronics,IMBJSTCL9W,200022,BAJAJ LEDZ BULB 9W E27 CDL,I07104,1.0,185.1,744827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.1,0.0,0.0,185.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Arpifoam,AFS5411/2,2022,"SPONGE 5""X4""X1 1/2""",F00111,-2.0,51.13,4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-102.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.26
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Arpifoam,AFS6411/2,2022,"SPONGE 6""X4""X1 1/2""",F00111,5.0,61.54,6600,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,307.7,0.0,0.0,0.0,0.0,0.0,0.0,307.7,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RGHR1-15M,2001,GARDEN HOSE 1 15M ROLL,F00404,2.0,3830.93,824489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7661.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7661.86,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RGHR1/220MTU,2001,GARDEN HOSE 1/2 20M ROLL WITH,F00404,6.0,2411.94,824492,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14471.64,0.0,0.0,14471.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RGHR1/230MTU,2001,GARDEN HOSE 1/2 30M ROLL WITH ,F00404,1.0,3617.09,824493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3617.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617.09,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,MIPM,2001,MULTI PURPOSE INTERIOR MAT,F00408,1.0,620.62,79827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,620.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.62,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,NWMBL,2001,NEW WELCOME MAT - BLACK,F00408,3.0,859.52,12614,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.56,0.0,0.0,2578.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RDM10BL,2001,CLOSE BOTTOM RING MAT - THIN,F00408,4.0,955.21,2622,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3820.84,0.0,3820.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RDM12BL,2001,FLAT TIP LARGE MAT,F00408,5.0,861.27,2517,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4306.35,0.0,2583.81,0.0,0.0,0.0,861.27,0.0,861.27,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RDM1BL,2001,RUBBER SPIKED MAT,F00408,6.0,565.29,2618,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3391.74,0.0,0.0,0.0,0.0,0.0,0.0,2826.45,565.29,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RDM42,2001,"SPICKED MAT -30"" X 18""",F00408,1.0,1412.16,7674,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.16,0.0,1412.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RDM63BL,2001,RUBBER MATS BLACK,F00408,4.0,827.09,2615,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3308.36,2481.27,0.0,0.0,0.0,0.0,827.09,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,RHPBM,2001,RUBBER PLAYBALL MEDIUM,F00410,5.0,181.29,0070,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,906.45,0.0,0.0,181.29,181.29,0.0,0.0,543.87,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Dry Rubber,CLR6GR,2001,FABRICATED WELCOM MAT - GREEN,F0ZZ04,2.0,518.3,49712,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.6,0.0,0.0,1036.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Factory ZZ,RDM69BL,2001,HANSA MAT,F0ZZZZ,2.0,697.61,22434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1395.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.22,0.0
2024-06-15,830,81,HALOLUWA SS,D,Factory Products,Laytex,LPRNCPN-KID,2004,LATEX CONTOUR PILLOW - N KID,F00306,-1.0,552.45,749468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-552.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-552.45
