rep_date,sbu_code,loc_code,loc_name,prim_cls,main_grp,catdes,item_code,supplier,itm_desc,itm_group,on_hand_qty,avg_price,plu_code,cur,ove30,ove60,ove90,ove120,ove180,ove270,ove365,ove730,neg_stock,on_hand_value,cur_val,ove30_val,ove60_val,ove90_val,ove120_val,ove180_val,ove270_val,ove365_val,ove730_val,neg_stock_val
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,KNIC6150,100499,KRYPTON INFRARED COOKER,L03102,1.0,10750.0,784234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10750.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPDC-5128,298,SUGA GAS COOKER - 2 BURNER 512,L03102,1.0,23655.81,828544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23655.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23655.81,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPDC-CRH8009,1007,HAND MIXER 200W / 5 SPEED,L03102,2.0,3177.03,763222,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6354.06,0.0,0.0,0.0,0.0,0.0,6354.06,0.0,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPDC-THD2393,1007,PHILIPS SANDWICH TOASTER HD239,L03102,1.0,8693.59,833854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8693.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8693.59,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPDM001 G,100429,DMS HOT PLATE SINGLE  GREY,L03102,1.0,12153.49,751304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12153.49,0.0,0.0,0.0,0.0,0.0,12153.49,0.0,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPA-ACP-0.5,2040,ARPICO ELECTRIC WATER PUMPS 0.,L03103,1.0,13072.21,745690,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13072.21,0.0,0.0,0.0,0.0,0.0,0.0,13072.21,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPA-ACP-0.75,2040,ARPICO ELECTRIC WATER PUMPS 0.,L03103,1.0,16581.95,793762,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16581.95,0.0,0.0,0.0,0.0,0.0,0.0,16581.95,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPAD-ACP1JET,2040,ARPICO ELECTRIC WATERPUMP 1HP,L03103,1.0,17280.05,718601,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17280.05,0.0,0.0,0.0,0.0,0.0,0.0,17280.05,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPJD-117B2WM,1678,LCD TV WALL MOUNT 14*55,L03103,1.0,2466.95,796892,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2466.95,0.0,0.0,0.0,0.0,0.0,2466.95,0.0,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPJD-70OHMS,1678,JDE CUP ANTENNA,L03103,1.0,388.47,735402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,388.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.47,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPJD-SMROWM,1678,LCD TV WALL MOUNT 14*24,L03103,1.0,22.17,759246,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.17,0.0,0.0,0.0,0.0,0.0,22.17,0.0,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPBMI-5GEXC,100255,05 GANG EXTENSION CORD,L0ZZ31,1.0,1912.32,774005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1912.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912.32,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Electronics,LPJD-DIS LED,1678,DISCO LIGHT-LED,L0ZZ31,1.0,750.0,754973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Imp Electronics,IMARP24W2A,200022,ARPICO 24 INCH LED TV,I07104,1.0,25496.91,777077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25496.91,0.0,0.0,0.0,25496.91,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,B,Electricals,Imp Electronics,IMARPTKA871,200022,ARPICO 2.1 MUTI MEDIA SPEAKER,I07114,1.0,6205.81,759392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6205.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6205.81,0.0,0.0
2024-06-15,830,190,Anuradhapura ADA,C,Furniture,,LPRHANFLO,1753,ORNAMENT ANGEL WITH FLOWER,L0ZZ35,1.0,462.27,798279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,462.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.27,0.0
2024-06-15,830,190,Anuradhapura ADA,D,Factory Products,Arpifoam,AF18182,2022,ARPIFOAM CUSHION,F00106,1.0,395.25,2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,395.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.25,0.0,0.0
